iter	MAE
432	3415035.967
433	3414929.655
434	3414827.279
435	3414674.956
436	3413818.574
437	3413695.535
438	3413550.1
439	3413524.166
440	3413409.722
441	3412963.661
442	3412927.274
443	3412869.938
444	3412861.693
445	3411827.687
446	3411797.673
447	3411722.54
448	3411511.428
449	3411296.038
450	3411189.501
451	3410653.833
452	3410636.389
453	3410436.576
454	3410408.011
455	3410298.675
456	3409856.898
457	3409777.792
458	3409640.628
459	3409539.146
460	3409320.905
461	3409252.697
462	3408823.636
463	3408768.186
464	3408438.747
465	3408425.006
466	3408412.715
467	3408184.54
468	3408117.919
469	3407960.456
470	3407951.348
471	3407906.494
472	3407872.344
473	3407867.748
474	3407809.718
475	3407003.791
476	3406494.283
477	3406455.247
478	3406450.611
479	3406410.344
480	3406234.96
481	3406186.241
482	3406141.608
483	3406094.822
484	3405894.098
485	3405860.973
486	3405760.795
487	3405750.116
488	3405082.336
489	3405001.022
490	3404680.861
491	3404661.847
492	3404629.836
493	3404421.005
494	3404174.998
495	3404147.793
496	3404046.024
497	3403813.791
498	3403808.856
499	3403782.067
500	3403732.426
501	3403377.018
502	3403367.52
503	3403341.269
504	3403319.918
505	3403293.745
506	3402871.534
507	3402493.515
508	3402430.209
509	3402423.815
510	3402223.355
511	3401945.085
512	3401841.728
513	3401645.412
514	3401526.126
515	3401445.325
516	3401421.505
517	3401261.721
518	3400868.733
519	3400714.085
520	3400628.473
521	3400449.87
522	3399787.576
523	3399785.714
524	3399615.465
525	3399480.626
526	3399382.453
527	3399378.024
528	3399213
529	3398948.484
530	3398896.875
531	3398892.726
532	3398188.69
533	3398162.763
534	3397984.195
535	3397923.61
536	3397821.583
537	3397803.191
538	3397734.16
539	3397493.979
540	3397314.173
541	3397292.273
542	3397126.835
543	3397083.056
544	3397054.995
545	3397044.274
546	3396938.091
547	3396844.242
548	3396711.635
549	3396615.317
550	3396598.198
551	3396475.889
552	3396437.88
553	3396382.298
554	3396145.815
555	3396141.071
556	3396056.87
557	3395876.822
558	3395851.885
559	3395716.956
560	3395685.753
561	3395624.344
562	3395618.012
563	3395613.32
564	3395485.535
565	3395315.208
566	3395248.722
567	3395246.183
568	3395007.936
569	3394983.979
570	3394954.527
571	3394732.678
572	3394411.921
573	3394192.539
574	3394182.524
575	3393815.084
576	3393758.202
577	3393755.927
578	3393327.413
579	3393176.928
580	3392986.277
581	3392969.919
582	3392954.974
583	3392949.451
584	3392921.384
585	3392639.672
586	3392337.261
587	3392334.886
588	3392220.183
589	3392083.496
590	3391789.721
591	3391772.023
592	3391595.125
593	3391571.73
594	3391510.209
595	3391393.843
596	3391168.213
597	3391167.176
598	3391118.268
599	3390859.443
600	3390848.838
601	3390517.832
602	3389968.11
603	3389686.796
604	3389677.071
605	3389606.299
606	3389476.424
607	3389406.07
608	3389327.054
609	3389310.891
610	3389209.94
611	3389143.584
612	3389141.789
613	3389116.155
614	3389104.972
615	3389072.653
616	3389024.649
617	3388831.205
618	3388546.425
619	3388541.643
620	3388477.948
621	3388446.901
622	3388376.75
623	3388361.865
624	3388271.21
625	3388082.801
626	3387896.712
627	3387792.976
628	3387506.64
629	3387464.097
630	3387445.181
631	3387315.738
632	3386982.836
633	3386834.705
634	3386765.286
635	3386694.81
636	3386684.578
637	3386678.083
638	3386677.992
639	3386513.318
640	3385919.07
641	3385903.982
642	3385684.117
643	3385683.522
644	3385616.894
645	3385614.423
646	3385612.25
647	3385601.278
648	3385579.723
649	3385533.953
650	3385391.509
651	3385260.13
652	3385206.41
653	3385161.384
654	3385157.541
655	3385097.171
656	3385016.921
657	3384954.399
658	3384865.714
659	3384835.211
660	3384832.416
661	3384747.904
662	3384537.724
663	3384405.76
664	3384391.323
665	3384386.905
666	3384308.607
667	3384186.583
668	3384151.052
669	3384113.798
670	3384083.447
671	3383549.028
672	3383504.197
673	3383502.294
674	3383429.909
675	3383410.615
676	3383353.199
677	3383152.093
678	3382926.543
679	3382789.548
680	3382741.939
681	3382609.711
682	3382579.792
683	3382503.228
684	3382411.119
685	3382371.707
686	3382208.321
687	3382131.816
688	3381837.251
689	3381826.562
690	3381824.486
691	3381816.105
692	3381810.953
693	3381714.507
694	3381655.477
695	3381550.583
696	3381537.902
697	3381406.564
698	3381363.178
699	3381362.882
700	3380968.834
701	3380874.454
702	3380818.876
703	3380767.894
704	3380695.794
705	3380691.565
706	3380687.69
707	3380624.981
708	3380608.104
709	3380606.134
710	3380541.425
711	3380450.123
712	3380232.443
713	3380226.181
714	3380188.348
715	3380138.982
716	3380056.004
717	3379893.138
718	3379327.752
719	3379237.667
720	3379228.515
721	3379222.881
722	3379031.099
723	3378884.574
724	3378784.648
725	3378782.432
726	3378606.528
727	3378440.01
728	3378430.829
729	3378424.101
730	3378290.645
731	3378287.022
732	3378128.447
733	3378108.834
734	3378060.301
735	3377981.826
736	3377970.603
737	3377756.485
738	3377686.891
739	3377668.418
740	3377655.095
741	3377613.401
742	3377593.898
743	3377590.014
744	3377589.066
745	3377547.132
746	3377472.989
747	3377439.043
748	3377416.133
749	3377335.914
750	3377321.205
751	3377286.216
752	3376921.074
753	3376900.535
754	3376884.176
755	3376868.066
756	3376679.548
757	3376609.847
758	3376568.259
759	3376526.16
760	3376496.165
761	3376448.641
762	3376445.218
763	3376432.196
764	3376418.697
765	3376385.486
766	3376313.268
767	3376192.786
768	3376141.915
769	3376137.443
770	3376065.478
771	3375919.229
772	3375909.945
773	3375862.689
774	3375836.667
775	3375808.41
776	3375783.426
777	3375782.385
778	3375777.634
779	3375776.795
780	3375774.921
781	3375768.069
782	3375767.473
783	3375743.574
784	3375685.811
785	3375650.86
786	3375329.813
787	3375101.933
788	3375089.042
789	3375054.958
790	3374944.773
791	3374938.146
792	3374920.978
793	3374917.238
794	3374913.087
795	3374880.149
796	3374876.55
797	3374872.374
798	3374824.647
799	3374729.762
800	3374681.327
801	3374662.648
802	3374662.421
803	3374598
804	3374595.705
805	3374551.744
806	3374474.486
807	3374401.481
808	3374399.58
809	3374394.286
810	3374392.212
811	3374374.483
812	3374336.559
813	3374334.982
814	3374332.669
815	3374180.33
816	3374130.086
817	3374100.89
818	3374024.664
819	3374023.913
820	3374006.14
821	3373998.665
822	3373904.031
823	3373902.612
824	3373871.949
825	3373862.094
826	3373737.264
827	3373678.198
828	3373677.506
829	3373671.831
830	3373667.267
831	3373303.535
832	3373219.103
833	3373211.762
834	3373210.222
835	3373184.967
836	3373047.017
837	3372985.565
838	3372983.904
839	3372967.225
840	3372966.495
841	3372950.924
842	3372939.615
843	3372926.736
844	3372911.194
845	3372907.378
846	3372847.9
847	3372670.375
848	3372648.304
849	3372639.147
850	3372638.835
851	3372382.35
852	3372334.047
853	3372332.726
854	3372274.825
855	3372270.974
856	3372249.645
857	3372213.55
858	3372182.587
859	3372047.943
860	3371924.19
861	3371921.259
862	3371851.861
863	3371837.154
864	3371742.761
865	3371479.2
866	3371411.275
867	3371326.886
868	3371314.561
869	3371309.64
870	3371099.608
871	3371046.974
872	3371036.539
873	3371035.058
874	3371014.321
875	3370935.343
876	3370921.213
877	3370786.371
878	3370612.245
879	3370596.537
880	3370572.055
881	3370571.681
882	3370533.379
883	3370367.152
884	3370349.605
885	3370282.046
886	3370134.001
887	3370118.321
888	3370018.417
889	3369941.661
890	3369940.886
891	3369927.242
892	3369924.357
893	3369833.876
894	3369826.584
895	3369693.701
896	3369636.749
897	3369624.046
898	3369606.146
899	3369585.884
900	3369550.531
901	3369549.271
902	3369534.624
903	3369508.591
904	3369460.639
905	3369442.971
906	3369440.532
907	3369425.2
908	3369287.411
909	3369198.846
910	3369187.699
911	3369157.719
912	3369119.639
913	3369118.273
914	3369043.191
915	3369033.653
916	3368954.418
917	3368940.301
918	3368903.95
919	3368900.849
920	3368897.422
921	3368794.143
922	3368751.145
923	3368731.063
924	3368727.449
925	3368603.955
926	3368545.725
927	3368489.425
928	3368461.926
929	3368455.723
930	3368417.383
931	3368264.313
932	3368233.395
933	3368218.179
934	3368217.776
935	3368183.837
936	3368182.694
937	3368062.473
938	3368061.832
939	3368056.018
940	3367895.395
941	3367882.573
942	3367870.361
943	3367837.629
944	3367815.594
945	3367767.258
946	3367763.634
947	3367708.5
948	3367693.693
949	3367640.302
950	3367634.662
951	3367616.045
952	3367607.978
953	3367607.21
954	3367553.483
955	3367552.504
956	3367546.255
957	3367509.222
958	3367475.915
959	3367474.699
960	3367413.213
961	3367411.21
962	3367405.411
963	3367400.603
964	3367287.716
965	3367287.604
966	3367274.94
967	3367274.477
968	3367272.324
969	3367264.89
970	3367242.402
971	3367241.53
972	3367099.712
973	3367043.006
974	3366873.975
975	3366748.169
976	3366739.825
977	3366634.057
978	3366509.781
979	3366501.027
980	3366467.602
981	3366457.859
982	3366350.685
983	3366305.955
984	3366267.836
985	3366256.51
986	3366196.253
987	3366195.283
988	3366195.019
989	3366176.718
990	3366164.384
991	3366164.141
992	3366163.428
993	3366091.049
994	3366088.729
995	3366042.179
996	3366004.017
997	3365983.335
998	3365957.444
999	3365955.16
